parameter_set,key_rep,reference_index,relative_index,signature_index,sign_ns
XMSS-SHA2_10_256,PUB_R1,256,2,258,15572592
XMSS-SHA2_10_256,PUB_R1,256,3,259,13148334
XMSS-SHA2_10_256,PUB_R1,256,4,260,15305463
XMSS-SHA2_10_256,PUB_R1,512,-4,508,3484333
XMSS-SHA2_10_256,PUB_R1,512,-3,509,3487019
XMSS-SHA2_10_256,PUB_R1,512,-2,510,3454389
XMSS-SHA2_10_256,PUB_R1,512,-1,511,12929666
XMSS-SHA2_10_256,PUB_R1,512,0,512,15426074
XMSS-SHA2_10_256,PUB_R1,512,1,513,13021389
XMSS-SHA2_10_256,PUB_R1,512,2,514,15319629
XMSS-SHA2_10_256,PUB_R1,512,3,515,12894500
XMSS-SHA2_10_256,PUB_R1,512,4,516,15440222
XMSS-SHA2_10_256,PUB_R2,4,-4,0,3608129
XMSS-SHA2_10_256,PUB_R2,4,-3,1,3563388
XMSS-SHA2_10_256,PUB_R2,4,-2,2,3612648
XMSS-SHA2_10_256,PUB_R2,4,-1,3,8330741
XMSS-SHA2_10_256,PUB_R2,4,0,4,3551796
XMSS-SHA2_10_256,PUB_R2,4,1,5,3522259
XMSS-SHA2_10_256,PUB_R2,4,2,6,3614037
XMSS-SHA2_10_256,PUB_R2,4,3,7,12950204
XMSS-SHA2_10_256,PUB_R2,4,4,8,8333574
XMSS-SHA2_10_256,PUB_R2,8,-4,4,3551796
XMSS-SHA2_10_256,PUB_R2,8,-3,5,3522259
XMSS-SHA2_10_256,PUB_R2,8,-2,6,3614037
XMSS-SHA2_10_256,PUB_R2,8,-1,7,12950204
XMSS-SHA2_10_256,PUB_R2,8,0,8,8333574
XMSS-SHA2_10_256,PUB_R2,8,1,9,3558074
XMSS-SHA2_10_256,PUB_R2,8,2,10,3325908
XMSS-SHA2_10_256,PUB_R2,8,3,11,8235648
XMSS-SHA2_10_256,PUB_R2,8,4,12,3550019
XMSS-SHA2_10_256,PUB_R2,16,-4,12,3550019
XMSS-SHA2_10_256,PUB_R2,16,-3,13,3559703
XMSS-SHA2_10_256,PUB_R2,16,-2,14,3393278
XMSS-SHA2_10_256,PUB_R2,16,-1,15,13035556
XMSS-SHA2_10_256,PUB_R2,16,0,16,15418870
XMSS-SHA2_10_256,PUB_R2,16,1,17,13110148
XMSS-SHA2_10_256,PUB_R2,16,2,18,5887666
XMSS-SHA2_10_256,PUB_R2,16,3,19,8299055
XMSS-SHA2_10_256,PUB_R2,16,4,20,3523481
XMSS-SHA2_10_256,PUB_R2,32,-4,28,3263870
XMSS-SHA2_10_256,PUB_R2,32,-3,29,3593018
XMSS-SHA2_10_256,PUB_R2,32,-2,30,3615926
XMSS-SHA2_10_256,PUB_R2,32,-1,31,13106981
XMSS-SHA2_10_256,PUB_R2,32,0,32,15364111
XMSS-SHA2_10_256,PUB_R2,32,1,33,13186796
XMSS-SHA2_10_256,PUB_R2,32,2,34,15490852
XMSS-SHA2_10_256,PUB_R2,32,3,35,13109648
XMSS-SHA2_10_256,PUB_R2,32,4,36,15483055
XMSS-SHA2_10_256,PUB_R2,64,-4,60,3585203
XMSS-SHA2_10_256,PUB_R2,64,-3,61,3560371
XMSS-SHA2_10_256,PUB_R2,64,-2,62,3549852
XMSS-SHA2_10_256,PUB_R2,64,-1,63,13040444
XMSS-SHA2_10_256,PUB_R2,64,0,64,15464871
XMSS-SHA2_10_256,PUB_R2,64,1,65,13046871
XMSS-SHA2_10_256,PUB_R2,64,2,66,15456500
XMSS-SHA2_10_256,PUB_R2,64,3,67,13077111
XMSS-SHA2_10_256,PUB_R2,64,4,68,15435666
XMSS-SHA2_10_256,PUB_R2,128,-4,124,3552592
XMSS-SHA2_10_256,PUB_R2,128,-3,125,3494074
XMSS-SHA2_10_256,PUB_R2,128,-2,126,3456777
XMSS-SHA2_10_256,PUB_R2,128,-1,127,13036815
XMSS-SHA2_10_256,PUB_R2,128,0,128,15392981
XMSS-SHA2_10_256,PUB_R2,128,1,129,13097852
XMSS-SHA2_10_256,PUB_R2,128,2,130,15429204
XMSS-SHA2_10_256,PUB_R2,128,3,131,13012149
